,"UPI Banks
","Volume (Mn) By Costumers
","Value (Cr) by Costumers
","Volume (Mn)
",Value (Cr),Month
363,Utkarsh Small Finance Bank Apps,2.31,404.63,2.31,404.63,6
364,Utkarsh Small Finance Bank Apps,0.02,2.44,0.02,2.44,6
365,Utkarsh Small Finance Bank Apps,778.87,89388.78,877.5,102119.9,6
366,Utkarsh Small Finance Bank Apps,2732.59,501474.48,2732.59,501474.48,6
367,WhatsApp,0.08,40.68,0.08,40.68,6
368,WhatsApp,0.01,5.93,0.01,5.93,6
369,WhatsApp,0.35,121.0,0.42,123.89,6
370,WhatsApp,4.07,468.23,4.07,468.23,6
371,WhatsApp,0.14,46.66,0.14,46.66,6
372,WhatsApp,0.13,69.13,0.13,69.13,6
373,Yes Bank Apps,3.83,1947.1,3.83,1947.1,6
374,Yes Bank Apps,0.03,4.02,0.03,4.02,6
375,Yes Bank Apps,0.12,19.41,0.12,19.41,6
376,Yes Bank Apps,0.01,2.1,0.01,2.1,6
377,Yes Bank Apps,0.22,42.3,0.22,42.3,6
378,Yes Bank Apps,0.03,3.32,0.03,3.32,6
379,YuvaPay,0.45,199.8,0.45,199.8,6
380,YuvaPay,0.01,3.47,0.01,3.47,6
381,YuvaPay,23.04,429.06,23.04,429.06,6
382,YuvaPay,41.67,9889.56,44.03,11147.17,6
383,YuvaPay,0.03,58.31,0.03,58.31,6
384,YuvaPay,0.02,6.34,0.02,6.34,6
